ページUrl,ASIN,Id,投稿日,星,名前,レビュー_タイトル,レビュー,役に立った
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R318BN1T6VGLJ6,2023年6月12日,5つ星のうち1.0,Juice,操作の仕方が分からず、即売りました,"魔法学校の最初の課題で、ボールを引き寄せてちょうど良いところで止めるやつ。全然できませんでした。最初からこれじゃ今後も操作できずにストレスたまるんだろうな…と考え、即売りました。
相当ゲームをいろいろやってきた息子も、数時間やって「あれは難しすぎる。もうやらない」と。;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R3DNI42EHMUBFA,2023年6月7日,5つ星のうち5.0,tosibou1242,画像が美しくストーリー最高,アクションの苦手な私でも操作は比較的容易である。クエストが豊富で戦闘、パズルとも面白い。;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R1XVURGSGVWGDP,2023年6月6日,5つ星のうち5.0,ZZZ,景色だけでも。,"ハリーポッターファンからすれば
世界観だけで価値ありまくりです。
箒を手に入れて空を飛べるようになった時にはもう圧巻！！の1言です。
迷う必要なんてないです。
ファンなら買う1択です！;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R5TFTDNT28P40,2023年6月6日,5つ星のうち5.0,オーロラ,映画そのものを動かしてるようなゲーム,オフラインのせいで多くのユーザーがプレイ後、瞬く間にいなくなってしまったと話題になりましたが、オフラインのおかげで世界観に没入できた気がします。クディッチに参加できないのは残念でしたが、その分ゲーム自体は充実しており、二ヶ月間くらいずっと楽しめました。家具や小物を見るたびに、古い時代のイギリスへ旅行できたような気分になりました。公式ファンサイトで診断受けたら、スリザリンでしたが、レイブンクロー生として楽しみました。あなたはどこの寮生で過ごしましたか？;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R2Q4ETI2QQUHWM,2023年6月6日,5つ星のうち5.0,( ・∇・),毎日プレイしてます,ハリポタとファンタビ好きにはたまらん;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R12UEFZTFUQWOK,2023年6月5日,5つ星のうち5.0,tomtom,おもしろい,"最近ゲームは発売日に届くようにAmazonで予約注文しています。
ホグワーツレガシーはゲーム発売前に、映画を見直したりして気分を盛り上げてからやると楽しいですよ！;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R16K4RN4TM5NTC,2023年6月4日,5つ星のうち4.0,uah t,期待以上でした♡♡,"やり込みとか選択肢で先が変わったりとかめっちゃ楽しいです✧(*•̀ᴗ•́*)و ̑̑✧
ただカーソルが面倒いかなって思ったwあとは特に私的にはなかったです(*'ᵕ`);",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R13SR2U896DZ2F,2023年6月3日,5つ星のうち4.0,鈴木建斗,ハリポタファンなら買った方がいい,原作見てる人だとなお楽しめる作品;,
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,RD5CJ7LBXNTCB,2023年6月3日,5つ星のうち5.0,奏基,色々と評価は有りますが、、、,"ゲーム的には面白い
箒で飛ぶ時真っ直ぐに飛ばない！とかは有りますけど謎解きも有り、魔法を覚えて敵を倒した時は最高でした！途中で選択肢が有るので知らないと後で泣きを見る事になります。
残念なのは追加のイベントが無い！
アップデートによる追加イベント等有れば良いのにと思います。
ゲームの作りはよく出来ていると思います
買って損はないと思うよ;",
https://www.amazon.co.jp/Crest-Outlast-Mouthwash-Lasting-Peppermint/product-reviews/B0C5M5WR65/ref=cm_cr_getr_d_paging_btm_next_1?&pageNumber=1&sortBy=recent,B0C5M5WR65,R26TGGO6UHJ2QU,2023年6月2日,5つ星のうち4.0,keita,楽しめました,"謎解き多めのゲーム。
アクション苦手でもクリア可能。ボス戦もかなり緩い。
逆にどうでも良い箒競争に勝ち続けるのは結構難しい
魔法動物が可愛い。
捕まえて繁殖させたり遊んだり素材を取ったりできるが、イマイチ物足りない気持ちになる。
キャラクター制作は頑張ってもあまり可愛くならないし、登場人物にも可愛いコはいない。
コーデも可愛いのはほぼ無い。
デフォルトで装備していると、お化けみたいな格好になっていく
景観は綺麗で、移動もスムーズだけど、ホグワーツ周辺のお話であるため、然程変わり映えはしない。;",2人
