,datetime,comment,satisfaction,length
0,2019/3/11,駅前に若者が集まっている,1,12
1,2019/2/25,スポーツできる場所があるのが良い,5,16
2,2019/2/18,子育て支援が嬉しい,5,9
3,2019/4/9,保育園に入れる,4,7
4,2019/1/6,駅前商店街が寂しい,2,9
5,2019/1/12,生活は便利だけど遊ぶ場所がない,3,15
6,2019/2/2,遊ぶ場所がない,2,7
7,2019/4/6,商業施設が出来て欲しい,3,11
8,2019/4/17,病院が充実している,4,9
9,2019/3/7,サイクリングコースが良い,5,12
10,2019/2/15,お祭りをもっと盛り上げて欲しい,2,15
11,2019/2/17,小学校が綺麗で嬉しい,4,10
12,2019/3/6,公園がもっと欲しい,2,9
13,2019/1/9,近くに公園があって住みやすい,4,14
14,2019/1/3,スーパーまで行くのが大変,1,12
15,2019/1/2,子育てしやすい,4,7
16,2019/3/6,デートスポットが欲しい,3,11
17,2019/2/12,もっと商店街を盛り上げてほしい,4,15
18,2019/3/15,夜道が暗い,1,5
19,2019/2/20,ゴミ処理が楽,4,6
20,2019/2/13,映画館が欲しい,2,7
21,2019/3/19,もっと街路樹が欲しい,3,10
22,2019/4/21,もう少し公園を追加して欲しい,2,14
23,2019/1/1,観光スポットがない,1,9
24,2019/2/25,子育てがしやすい,4,8
25,2019/1/21,道が綺麗,4,4
26,2019/3/12,都内へのアクセスが良い,5,11
27,2019/4/30,家賃がリーズナブル,4,9
28,2019/1/26,BBBの渋滞をなんとかして欲しい,2,16
29,2019/2/16,商店街に屋根がないから雨が降ると大変,2,18
30,2019/2/2,商店街にもっとたくさん喫茶店が欲しい,2,18
31,2019/2/17,スポーツジムがあってよく利用している,4,18
32,2019/4/3,スポーツジムの利用料金が高い,2,14
33,2019/2/7,働くママの支援をもっと増やして欲しい,2,18
34,2019/4/30,バスがあまりこない,1,9
35,2019/2/17,自転車で走りやすい,4,9
36,2019/2/11,ランニングとか運動できる場所が多い,5,17
37,2019/4/8,有名な企業が多い,3,8
38,2019/3/20,駅前に駐車場が足りない,1,11
39,2019/3/11,変なおじさんに声を掛けられた事がある。警察の巡回をもっと強化してほしい,1,35
40,2019/1/9,消防団が活発で安心できる,4,12
42,2019/2/23,災害時の避難場所が少ない気がする。,2,17
43,2019/3/11,最近川の氾濫被害が大きく取り扱われているが、この町ではどのような氾濫防止を取っているか説明してほしい,3,50
44,2019/2/28,信号のない交差点がｘｘｘにあり事故が起きそうで怖い、信号を付けて欲しい。,1,36
45,2019/4/29,商店街の活性化活動をもっと行政が後押ししてほしい,1,24
46,2019/4/17,子どもが安全に遊ぶ場所がない,1,14
47,2019/1/13,駅前に駐輪場が無いので不便,1,13
48,2019/1/11,街路樹の落ち葉の掃除が大変、街路樹をやめてほしい,1,24
49,2019/4/27,災害時の備蓄状況はどうなっているか,2,17
50,2019/1/22,歩道が広い道が多くて安心できる,4,15
51,2019/4/3,地域の自治体をもっと支援してほしい,2,17
52,2019/2/2,自治体の活動が頻繁で安心して暮らせる,5,18
53,2019/1/22,観光地が少ない,1,7
54,2019/1/14,最近他県ナンバーの車が多い、防犯はちゃんと出来ているのか,1,28
55,2019/3/18,駐車場の数が少ないし、料金が高い。駅前に公共駐車場を作って欲しい,1,32
56,2019/4/13,歩行者用信号が変わるのが早い。老人や子供の事を考えて設定してほしい,2,33
57,2019/1/25,急行が止まるので都内へ出やすくて良い,4,18
58,2019/3/1,バスの路線を増やしてほしい,1,13
59,2019/3/13,春の桜並木が最高に綺麗。もっと桜並木を増やしてほしい^^,5,28
60,2019/2/13,隣町にできたごみ処理施設が心配、公害は大丈夫？,2,23
61,2019/3/15,市長が若くて活気がある,4,11
62,2019/3/19,アンケートをちゃんと確認して街づくりに反映してくれている姿勢が良い,5,33
63,2019/3/24,先月の職員不正事件について、もっと詳細に説明してほしい,1,27
64,2019/4/2,役所の担当者が無愛想で気に入らない,1,17
65,2019/2/13,役所の出張所を駅前に作って欲しい,3,16
66,2019/3/24,役所が土日も開いていて助かる,5,14
67,2019/3/16,災害時の避難経路をもっと分かりやすく表示してほしい,2,25
68,2019/1/29,市のホームページが奇麗で分かりやすい,5,18
70,2019/4/22,役所に電話しても繋がらない。もっと対応者を増やして下さい,1,28
71,2019/4/28,細い路地に街頭が少なくて怖い,1,14
72,2019/3/16,動物園が欲しい,3,7
73,2019/3/28,冬場、路面凍結で事故が多い、対応できませんか,1,22
74,2019/4/16,自然が豊かでとても過ごしやすい,4,15
75,2019/4/23,野良猫による糞害がひどい、行政で野良猫対策はしないのか,1,27
76,2019/1/29,役所に相談しに行ったとき、とても親身に対応してくれた,5,26
77,2019/1/10,高速道路へ出る道が狭くて渋滞がひどい。拡幅してほしい,1,26
78,2019/2/18,まちのマスコットとかを作ったらどうか,2,18
79,2019/3/30,夜間対応してくれる病院が少なくて不安,1,18
80,2019/4/21,高齢者のサポート施設が欲しい,2,14
81,2019/1/21,小学校の校庭が芝生なのでとても良い,5,17
82,2019/4/30,ホームページからアンケートを投稿できるようにしてほしい,2,27
83,2019/1/9,公園に遊び道具が少なすぎる,1,13
84,2019/3/9,もっと公園を増やしてほしい,2,13
85,2019/4/2,駅前に駐車場が少ない、不便,1,13
